id,sex,side,fluxo,cc,cp,ap,p,tempo ,segundos,vm,cm.s,peso_p_antes,peso_depois,musc1,peso_individuo,peso_quel_total,peso_propodo,porcent1
F9,female,left,s,19.47,11.54,6.58,14.579,3671,3.671,0.002724053,2.724053391,0.0431,0.014566667,0.028533333,3.1814,0.2746,0.1429,0.086314201
F10,female,left,s,17.49,9.95,5.36,12.70766667,3377,3.377,0.002961208,2.961208173,0.029766667,0.010966667,0.0188,2.2143,0.1858,0.0851,0.083909136
F11,female,left,s,17.75,10.82,5.71,13.963,3004,3.004,0.003328895,3.328894807,0.030466667,0.0124,0.018066667,2.1735,0.2013,0.1006,0.092615597
F12,female,left,s,17.17,9.53,5.28,12.58533333,2456,2.456,0.004071661,4.071661238,0.025666667,0.009266667,0.0164,1.9581,0.1645,0.0742,0.08401001
F13,female,left,s,17.6,10.16,9.53,13.39733333,2661,2.661,0.003757986,3.75798572,0.033433333,0.010866667,0.022566667,2.2406,0.205,0.1004,0.09149335
F14,female,left,s,16.09,8.82,5.19,11.049,2724,2.724,0.003671072,3.671071953,0.021233333,0.007366667,0.013866667,1.4902,0.1378,0.0656,0.092470809
F15,female,left,s,19.14,11.29,6.44,14.50533333,2263,2.263,0.004418913,4.418912947,0.0387,0.015133333,0.023566667,2.7846,0.2592,0.1328,0.093083387
F16,female,left,s,16.93,10.13,4.98,11.507,2832,2.832,0.003531073,3.531073446,0.0259,0.009566667,0.016333333,1.7723,0.1646,0.0795,0.092873667
F17,female,left,s,19.88,11.51,6.58,14.62233333,2041,2.041,0.004899559,4.89955904,0.042566667,0.0145,0.028066667,3.2132,0.2678,0.131,0.083343707
F18,female,left,s,21.37,13.83,7.3,16.82833333,2564,2.564,0.003900156,3.900156006,0.053366667,0.0183,0.035066667,3.6632,0.3891,0.2095,0.106218607
F20,female,left,s,16.6,10.17,5.34,12.23633333,2370,2.370,0.004219409,4.219409283,0.0255,0.008566667,0.016933333,1.5862,0.1736,0.0846,0.109443954
F21,female,left,s,17.16,10.17,5.42,12.88333333,2218,2.218,0.004508566,4.508566276,0.028,0.010666667,0.017333333,1.7726,0.162,0.0832,0.091391177
F22,female,left,s,18.45,10.96,6.03,14.12766667,1671,1.671,0.00598444,5.984440455,0.0329,0.011433333,0.021466667,2.3384,0.2107,0.1043,0.090104345
F23,female,left,s,18.21,10.88,5.69,13.89766667,2657,2.657,0.003763643,3.763643207,0.030133333,0.011166667,0.018966667,2.3082,0.2067,0.1088,0.089550299
F24,female,left,s,20.87,12.05,6.93,15.66533333,1932,1.932,0.005175983,5.175983437,0.046,0.013333333,0.032666667,3.1219,0.297,0.1495,0.095134373
F25,female,left,s,16.99,10.44,5.65,13.091,2074,2.074,0.004821601,4.821600771,0.027566667,0.009333333,0.018233333,1.9519,0.2061,0.1063,0.105589426
F26,female,left,s,19.34,11.12,6.27,14.47666667,1968,1.968,0.005081301,5.081300813,0.033933333,0.0132,0.020733333,2.4783,0.2366,0.1187,0.095468668
F27,female,left,s,17.06,9.41,5.03,13.29633333,2191,2.191,0.004564126,4.56412597,0.024166667,0.007733333,0.016433333,1.9923,0.1442,0.0611,0.072378658
F28,female,left,s,17.86,10.9,5.55,13.50166667,2154,2.154,0.004642526,4.642525534,0.033733333,0.012266667,0.021466667,2.2883,0.1985,0.098,0.086745619
F1,female,right,s,17.29,10.21,5.54,14.294,2659,2.659,0.003760812,3.760812335,0.0388,0.0131,0.0257,2.5019,0.2158,0.1073,0.086254447
F2,female,right,s,14.84,7.4,4.16,11.08233333,5085,5.085,0.001966568,1.966568338,0.0191,0.007233333,0.011866667,1.3958,0.0912,0.0408,0.065338874
F3,female,right,s,20.83,12.05,6.33,18.02233333,2340,2.340,0.004273504,4.273504274,0.0582,0.020666667,0.037533333,3.9391,0.3613,0.1952,0.091721459
F4,female,right,s,16.25,8.47,4.46,12.15066667,2318,2.318,0.004314064,4.314063848,0.0242,0.007966667,0.016233333,1.6886,0.1141,0.0419,0.067570769
F5,female,right,s,17.91,9.97,5.72,14.45533333,2842,2.842,0.003518649,3.518648839,0.036,0.011666667,0.024333333,2.2741,0.1905,0.0826,0.083769403
F6,female,right,s,17.02,9.11,4.68,13.26966667,2487,2.487,0.004020909,4.020908725,0.025033333,0.008533333,0.0165,1.8105,0.1274,0.0501,0.070367302
F7,female,right,s,16.35,8.95,4.75,12.65933333,3077,3.077,0.003249919,3.249918752,0.024533333,0.008433333,0.0161,1.6555,0.1202,0.0512,0.072606463
F8,female,right,s,18.27,10.07,5.19,13.52366667,2425,2.425,0.004123711,4.12371134,0.0347,0.012866667,0.021833333,2.4502,0.1734,0.0729,0.070769733
F9,female,right,s,19.47,10.77,5.93,15.303,3671,3.671,0.002724053,2.724053391,0.042833333,0.0145,0.028333333,3.1814,0.02063,0.0923,0.006484567
F10,female,right,s,17.49,9.58,5.11,13.169,3377,3.377,0.002961208,2.961208173,0.029933333,0.0112,0.018733333,2.2143,0.1427,0.059,0.064444746
F11,female,right,s,17.75,9.86,4.85,13.21566667,3004,3.004,0.003328895,3.328894807,0.031933333,0.0136,0.018333333,2.1735,0.1486,0.059,0.06836899
F12,female,right,s,17.17,9.06,4.87,12.52833333,2456,2.456,0.004071661,4.071661238,0.026133333,0.0095,0.016633333,1.9581,0.1336,0.0581,0.068229406
F13,female,right,s,17.6,8.06,4.37,13.89666667,2661,2.661,0.003757986,3.75798572,0.034433333,0.0115,0.022933333,2.2406,0.1155,0.0421,0.051548692
F14,female,right,s,16.09,8.25,4.6,11.34166667,2724,2.724,0.003671072,3.671071953,0.020866667,0.007066667,0.0138,1.4902,0.1088,0.0432,0.073010334
F15,female,right,s,19.14,10.56,5.78,14.586,2263,2.263,0.004418913,4.418912947,0.038233333,0.0149,0.023333333,2.7846,0.2013,0.0844,0.072290455
F16,female,right,s,16.93,9.09,4.37,11.654,2832,2.832,0.003531073,3.531073446,0.0221,0.008433333,0.013666667,1.7723,0.1247,0.0507,0.070360548
F17,female,right,s,19.88,10.39,5.82,14.22266667,2041,2.041,0.004899559,4.89955904,0.040233333,0.014666667,0.025566667,3.2132,0.2028,0.0829,0.063114652
F18,female,right,s,21.37,10.51,5.13,14.42633333,2564,2.564,0.003900156,3.900156006,0.038766667,0.014033333,0.024733333,3.6632,0.1848,0.0768,0.050447696
F20,female,right,s,16.6,9.48,4.79,12.31666667,2370,2.370,0.004219409,4.219409283,0.0265,0.009166667,0.017333333,1.5862,0.1414,0.0603,0.089143866
F21,female,right,s,17.16,9.59,4.87,13.08333333,2218,2.218,0.004508566,4.508566276,0.027033333,0.011133333,0.0159,1.7726,0.1314,0.0553,0.074128399
F22,female,right,s,18.45,9.74,4.91,14.11533333,1671,1.671,0.00598444,5.984440455,0.033566667,0.0118,0.021766667,2.3384,0.1469,0.0572,0.062820732
F23,female,right,s,18.21,9.82,4.92,13.67066667,2657,2.657,0.003763643,3.763643207,0.0314,0.011833333,0.019566667,2.3082,0.1581,0.0691,0.068494931
F24,female,right,s,20.87,11.32,5.92,15.59133333,1932,1.932,0.005175983,5.175983437,0.050333333,0.014166667,0.036166667,3.1219,0.2425,0.1069,0.077677056
F25,female,right,s,16.99,9.69,5.31,12.175,2074,2.074,0.004821601,4.821600771,0.0255,0.008966667,0.016533333,1.9519,0.1601,0.0697,0.082022645
F26,female,right,s,19.34,10.73,5.38,13.95066667,1968,1.968,0.005081301,5.081300813,0.0337,0.014133333,0.019566667,2.4783,0.1736,0.0781,0.070048017
F27,female,right,s,17.06,8.91,4.96,12.289,2191,2.191,0.004564126,4.56412597,0.024233333,0.007866667,0.016366667,1.9923,0.1298,0.0544,0.065150831
F28,female,right,s,17.86,10.06,4.9,13.54866667,2154,2.154,0.004642526,4.642525534,0.033033333,0.0122,0.020833333,2.2883,0.1563,0.0635,0.068303981
F1,female,left,c,17.29,11.1,6.07,14.754,3745,3.745,0.002670227,2.670226969,0.035866667,0.012766667,0.0231,2.5019,0.2158,0.1073,0.086254447
F2,female,left,c,14.84,7.36,4.13,11.38833333,4162,4.162,0.002402691,2.402691014,0.0195,0.007366667,0.012133333,1.3958,0.0912,0.0408,0.065338874
F3,female,left,c,20.83,13.31,7.32,16.32433333,3301,3.301,0.003029385,3.029385035,0.059733333,0.021,0.038733333,3.9391,0.3613,0.1952,0.091721459
F4,female,left,c,16.25,9.23,5.09,12.146,3482,3.482,0.002871913,2.871912694,0.0242,0.007766667,0.016433333,1.6886,0.1446,0.0695,0.085633069
F5,female,left,c,17.91,10.76,6.21,13.97533333,3311,3.311,0.003020236,3.020235578,0.038066667,0.012466667,0.0256,2.2741,0.2342,0.114,0.102985797
F6,female,left,c,17.02,9.72,5.08,13.211,2338,2.338,0.00427716,4.277159966,0.0241,0.0082,0.0159,1.8105,0.1503,0.0676,0.083015742
F7,female,left,c,16.35,9.21,5.12,12.43433333,2728,2.728,0.003665689,3.66568915,0.085433333,0.007333333,0.0781,1.6555,0.1391,0.0633,0.084022954
F8,female,left,c,18.27,10.57,5.85,13.85533333,2198,2.198,0.004549591,4.549590537,0.0342,0.011966667,0.022233333,2.4502,0.2152,0.1021,0.087829565
F9,female,left,c,19.47,11.54,6.58,14.579,2885,2.885,0.003466205,3.466204506,0.0431,0.014566667,0.028533333,3.1814,0.2746,0.1429,0.086314201
F10,female,left,c,17.49,9.95,5.36,12.70766667,3467,3.467,0.002884338,2.884338044,0.029766667,0.010966667,0.0188,2.2143,0.1858,0.0851,0.083909136
F11,female,left,c,17.75,10.82,5.71,13.963,2834,2.834,0.003528582,3.52858151,0.030466667,0.0124,0.018066667,2.1735,0.2013,0.1006,0.092615597
F12,female,left,c,17.17,9.53,5.28,12.58533333,2588,2.588,0.003863988,3.863987635,0.025666667,0.009266667,0.0164,1.9581,0.1645,0.0742,0.08401001
F13,female,left,c,17.6,10.16,9.53,13.39733333,1633,1.633,0.006123699,6.123698714,0.033433333,0.010866667,0.022566667,2.2406,0.205,0.1004,0.09149335
F14,female,left,c,16.09,8.82,5.19,11.049,2519,2.519,0.003969829,3.969829297,0.021233333,0.007366667,0.013866667,1.4902,0.1378,0.0656,0.092470809
F15,female,left,c,19.14,11.29,6.44,14.50533333,2065,2.065,0.004842615,4.842615012,0.0387,0.015133333,0.023566667,2.7846,0.2592,0.1328,0.093083387
F16,female,left,c,16.93,10.13,4.98,11.507,1485,1.485,0.006734007,6.734006734,0.0259,0.009566667,0.016333333,1.7723,0.1646,0.0795,0.092873667
F17,female,left,c,19.88,11.51,6.58,14.62233333,2120,2.120,0.004716981,4.716981132,0.042566667,0.0145,0.028066667,3.2132,0.2678,0.131,0.083343707
F18,female,left,c,21.37,13.83,7.3,16.82833333,1513,1.513,0.006609385,6.609385327,0.053366667,0.0183,0.035066667,3.6632,0.3891,0.2095,0.106218607
F20,female,left,c,16.6,10.17,5.34,12.23633333,2070,2.070,0.004830918,4.830917874,0.0255,0.008566667,0.016933333,1.5862,0.1736,0.0846,0.109443954
F21,female,left,c,17.16,10.17,5.42,12.88333333,2381,2.381,0.004199916,4.199916002,0.028,0.010666667,0.017333333,1.7726,0.162,0.0832,0.091391177
F22,female,left,c,18.45,10.96,6.03,14.12766667,1870,1.870,0.005347594,5.347593583,0.0329,0.011433333,0.021466667,2.3384,0.2107,0.1043,0.090104345
F23,female,left,c,18.21,10.88,5.69,13.89766667,2156,2.156,0.004638219,4.638218924,0.030133333,0.011166667,0.018966667,2.3082,0.2067,0.1088,0.089550299
F24,female,left,c,20.87,12.05,6.93,15.66533333,1917,1.917,0.005216484,5.21648409,0.046,0.013333333,0.032666667,3.1219,0.297,0.1495,0.095134373
F25,female,left,c,16.99,10.44,5.65,13.091,1923,1.923,0.005200208,5.200208008,0.027566667,0.009333333,0.018233333,1.9519,0.2061,0.1063,0.105589426
F26,female,left,c,19.34,11.12,6.27,14.47666667,2165,2.165,0.004618938,4.618937644,0.033933333,0.0132,0.020733333,2.4783,0.2366,0.1187,0.095468668
F27,female,left,c,17.06,9.41,5.03,13.29633333,1892,1.892,0.005285412,5.285412262,0.024166667,0.007733333,0.016433333,1.9923,0.1442,0.0611,0.072378658
F28,female,left,c,17.86,10.9,5.55,13.50166667,1945,1.945,0.005141388,5.141388175,0.033733333,0.012266667,0.021466667,2.2883,0.1985,0.098,0.086745619
F1,female,right,c,17.29,11.1,6.07,14.294,3745,3.745,0.002670227,2.670226969,0.0388,0.0131,0.0257,2.5019,0.2158,0.1073,0.086254447
F2,female,right,c,14.84,7.36,4.13,11.08233333,4162,4.162,0.002402691,2.402691014,0.0191,0.007233333,0.011866667,1.3958,0.0912,0.0408,0.065338874
F3,female,right,c,20.83,13.31,7.32,18.02233333,3301,3.301,0.003029385,3.029385035,0.0582,0.020666667,0.037533333,3.9391,0.3613,0.1952,0.091721459
F4,female,right,c,16.25,8.47,4.46,12.15066667,3482,3.482,0.002871913,2.871912694,0.0242,0.007966667,0.016233333,1.6886,0.1141,0.0419,0.067570769
F5,female,right,c,17.91,9.97,5.72,14.45533333,3311,3.311,0.003020236,3.020235578,0.036,0.011666667,0.024333333,2.2741,0.1905,0.0826,0.083769403
F6,female,right,c,17.02,9.11,4.68,13.26966667,2338,2.338,0.00427716,4.277159966,0.025033333,0.008533333,0.0165,1.8105,0.1274,0.0501,0.070367302
F7,female,right,c,16.35,8.95,4.75,12.65933333,2728,2.728,0.003665689,3.66568915,0.024533333,0.008433333,0.0161,1.6555,0.1202,0.0512,0.072606463
F8,female,right,c,18.27,10.07,5.19,13.52366667,2198,2.198,0.004549591,4.549590537,0.0347,0.012866667,0.021833333,2.4502,0.1734,0.0729,0.070769733
F9,female,right,c,19.47,10.77,5.93,15.303,2885,2.885,0.003466205,3.466204506,0.042833333,0.0145,0.028333333,3.1814,0.02063,0.0923,0.006484567
F10,female,right,c,17.49,9.58,5.11,13.169,3467,3.467,0.002884338,2.884338044,0.029933333,0.0112,0.018733333,2.2143,0.1427,0.059,0.064444746
F11,female,right,c,17.75,9.86,4.85,13.21566667,2834,2.834,0.003528582,3.52858151,0.031933333,0.0136,0.018333333,2.1735,0.1486,0.059,0.06836899
F12,female,right,c,17.17,9.06,4.87,12.52833333,2588,2.588,0.003863988,3.863987635,0.026133333,0.0095,0.016633333,1.9581,0.1336,0.0581,0.068229406
F13,female,right,c,17.6,8.06,4.37,13.89666667,1633,1.633,0.006123699,6.123698714,0.034433333,0.0115,0.022933333,2.2406,0.1155,0.0421,0.051548692
F14,female,right,c,16.09,8.25,4.6,11.34166667,2519,2.519,0.003969829,3.969829297,0.020866667,0.007066667,0.0138,1.4902,0.1088,0.0432,0.073010334
F15,female,right,c,19.14,10.56,5.78,14.586,2065,2.065,0.004842615,4.842615012,0.038233333,0.0149,0.023333333,2.7846,0.2013,0.0844,0.072290455
